"Title","Profit","Year","audienceScore","tomatoMeter","Rating","Rank"
"Chicago",306776732,2002,83,86,"PG-13",484
"Close Encounters of the Third Kind",306889114,1977,85,94,"PG",485
"Rise of the Guardians",306941670,2012,80,74,"PG",486
"The Pursuit of Happyness",307127625,2006,87,67,"PG-13",487
"The Fault in Our Stars",307166834,2014,85,81,"PG-13",488
"The Blind Side",309231694,2009,85,66,"PG-13",489
"Runaway Bride",309460292,1999,53,46,"PG",490
"Ransom",309492681,1996,62,74,"R",491
"Bolt",309979994,2008,74,90,"PG",492
"Little Fockers",310650585,2010,34,9,"PG-13",493
"Ocean's Thirteen",311312624,2007,75,70,"PG-13",494
"Austin Powers: The Spy Who Shagged Me",312016928,1999,71,53,"PG-13",495
"The Lego Batman Movie",312136671,2017,80,90,"PG",496
"Resident Evil: The Final Chapter",312242626,2016,47,37,"R",497
"Maze Runner: The Scorch Trials",312296056,2015,54,48,"PG-13",498
"Knives Out",312897920,2019,92,97,"PG-13",499
"As Good as It Gets",314178011,1997,86,85,"PG-13",500
"Chicken Little",314432837,2005,46,36,"G",501
"The Expendables 2",314975955,2012,67,67,"R",502
"Wonder",315025930,2017,88,85,"PG",503
"Air Force One",315156409,1997,66,79,"R",504
"Polar Express",316061405,2004,64,56,"G",505
"Beverly Hills Cop",316360478,1984,82,83,"R",506
"A Beautiful Mind",316791257,2001,93,74,"PG-13",507
"The Proposal",317375031,2009,68,45,"PG-13",508
"Last Airbender",319713881,2010,30,5,"PG",509
"Sonic the Hedgehog 2020",319715683,2020,93,63,"PG",510
"Fatal Attraction",320145693,1987,72,75,"R",511
"The Conjuring",320406242,2013,83,86,"R",512
"101 Dalmatians",320689294,1996,76,98,"G",513
"Inglourious Basterds",321457747,2009,88,89,"R",514
"Robin Hood",321669741,2010,58,43,"PG-13",515
"Lethal Weapon 3",321731527,1992,61,58,"R",516
"Green Book",321752656,2018,91,77,"PG-13",517
"The Conjuring 2",321834351,2016,81,80,"R",518
"Megamind",321885765,2010,72,72,"PG",519
"Schindler's List",322161245,1993,97,98,"R",520
"The SpongeBob Movie: Sponge Out of Water",325186032,2015,54,81,"PG",521
"The Hunchback of Notre Dame",325338851,1996,70,72,"G",522
"Taken 3",326479141,2015,43,13,"PG-13",523
"The Devil Wears Prada",326706115,2006,76,75,"PG-13",524
"Seven",327333559,1995,95,82,"R",525
"Crocodile Dundee",328203506,1986,59,89,"PG-13",526
